date,institution,product,term_days,rate_annual,balance_cap_mxn,rate_on_excess,conditions,source_url,accessed,verified
2026-04-09,Supertasas,Headline rate (video),,0.076,,,7.0-7.6% mentioned; mostly fixed terms; term not stated in video,"Germán Mi Amigo Dinero, NU ya se RINDIÓ, aquí GANAS MÁS, 2026-04-09, https://www.youtube.com/watch?v=ivm1_uAzvuY",2026-09-24,video (auto-captions)
2026-06-04,Stori,Fixed term 90d,90,0.105,,,No requirement,"Germán Mi Amigo Dinero, Las Tasas Cambiaron... Junio, 2026-06-04, https://www.youtube.com/watch?v=4-ZB5rI_WnA",2026-09-24,video (auto-captions)
2026-06-24,Nu,Cajita Turbo,0,0.13,,,Capped (amount not stated) with an activation condition; Nu was a SOFIPO at this date,"Germán Mi Amigo Dinero, Adiós Revolut: Se nos Cayó un Grande!, 2026-06-24, https://www.youtube.com/watch?v=XTDcKIUcak4",2026-09-24,video (auto-captions)
2026-07-02,Nu,Cajita Turbo,0,0.13,,,Capped (amount not stated) with an activation condition; Nu was a SOFIPO at this date,"Germán Mi Amigo Dinero, Revolut se Rindió. Estas son las Alternativas., 2026-07-02, https://www.youtube.com/watch?v=UurM0cORmNI",2026-09-24,video (auto-captions)
2026-07-05,Kubo Financiero,On demand,0,0.12,25000,,"About 3,000 MXN monthly deposits; cut to 12% this month","Germán Mi Amigo Dinero, Las Tasas Cambiaron... Julio, 2026-07-05, https://www.youtube.com/watch?v=YcVJv9_32r4",2026-09-24,video (auto-captions)
2026-07-11,Kubo Financiero,Cajita Turbo,0,0.13,,,No cap,"Germán Mi Amigo Dinero, KUBO Lanza una ""Cajita Turbo"" SIN TOPE!!, 2026-07-11, https://www.youtube.com/watch?v=ABZytAfldQk",2026-09-24,video (auto-captions)
2026-07-16,DiDi,On demand,0,0.15,10000,0.075,"Excess about 7.5%; about 12.3% blended at 15,000; paid daily","Germán Mi Amigo Dinero, Las Mejores Inversiones en 2026, Rankeadas, 2026-07-16, https://www.youtube.com/watch?v=U6m5NDabFec",2026-09-24,video (auto-captions)
2026-07-30,Stori,Fixed term 90d,90,0.1,,,No requirement,"Germán Mi Amigo Dinero, Fue un ERROR Aceptar las Inversiones Topadas, 2026-07-30, https://www.youtube.com/watch?v=jzhrIrAru-E",2026-09-24,video (auto-captions)
2026-07-30,Stori,Fixed term 180d,180,0.1,,,No requirement,"Germán Mi Amigo Dinero, Fue un ERROR Aceptar las Inversiones Topadas, 2026-07-30, https://www.youtube.com/watch?v=jzhrIrAru-E",2026-09-24,video (auto-captions)
2026-08-07,Finsus,Fixed term 120d (membership),120,0.115,,,"Paid membership, about 500 MXN a year","Germán Mi Amigo Dinero, Las Tasas Cambiaron... Agosto 2026, 2026-08-07, https://www.youtube.com/watch?v=xoA6vk1q0Mo",2026-09-24,video (auto-captions)
2026-08-07,Nu,Cajita (on demand),0,0.06,,,Regular Cajitas; Nu a bank since 2026-08-06,"Germán Mi Amigo Dinero, Cambios en las Cajitas NU Explicados, 2026-08-07, https://www.youtube.com/watch?v=pkGJ4boI6tk",2026-09-24,video (auto-captions)
2026-08-24,DiDi,On demand,0,0.15,10000,0.075,Excess about 7.5%,"Germán Mi Amigo Dinero, La Didi Cuenta Debería Preocuparnos, 2026-08-24, https://www.youtube.com/watch?v=FnZBsYYLf4k",2026-09-24,video (auto-captions)
2026-09-17,Klar,Headline rate (video),0,0.13,,,"13% tier tied to a 2,500 MXN requirement; terms got worse this month","Germán Mi Amigo Dinero, Así Ganas $6,297.04 al Mes Sin Hacer Nada, 2026-09-17, https://www.youtube.com/watch?v=hvP_dB63NT8",2026-09-24,video (auto-captions)
2026-09-24,Nu,Cajita (on demand),0,0.065,,,,https://www.nmas.com.mx/economia/finanzas-personales/nu-ya-es-un-banco-en-mexico-esto-significa-para-cuentahabientes-y-que-cambia-en-2026/,2026-09-24,yes
2026-09-24,Nu,Cajita Turbo,0,0.13,25000,0.065,Monthly debit card purchase,https://www.nmas.com.mx/economia/finanzas-personales/nu-ya-es-un-banco-en-mexico-esto-significa-para-cuentahabientes-y-que-cambia-en-2026/,2026-09-24,yes
2026-09-24,Nu,Fixed term 7d,7,0.0655,,,,https://www.tasas.mx/institucion/nu,2026-09-24,yes
2026-09-24,Nu,Fixed term 180d,180,0.068,,,,https://www.tasas.mx/institucion/nu,2026-09-24,yes
2026-09-24,Ualá,On demand (Plus),0,0.15,30000,0.0675,Plus level; base account about 6.75%,https://www.rendimientosmexico.com/instrumentos/uala,2026-09-24,secondary
2026-09-24,Klar,On demand (Plus/Platino),0,0.08,,,Regular balance; 6% standard. The 15% is the separate Inversión Max product,https://www.tasas.mx/institucion/klar,2026-09-24,yes
2026-09-24,Klar,Inversión Max (Plus/Platino),0,0.15,25000,0.08,"2,500 monthly spend; cap from video (Dec 2025)",https://deceroalinfinito.com/mejores-sofipos,2026-09-24,yes (cap from video)
2026-09-24,Klar,Fixed term 365d (Plus/Platino),365,0.085,,,Plus/Platino,https://www.tasas.mx/institucion/klar,2026-09-24,yes
2026-09-24,Banco Plata,Ahorro Flexible (base),0,0.07,,,,https://www.rendimientosmexico.com/instrumentos/plata,2026-09-24,secondary
2026-09-24,Banco Plata,Ahorro Flexible (Plata+),0,0.09,,,99 MXN + IVA monthly; cut from 10% in Aug 2026,https://www.rendimientosmexico.com/instrumentos/plata,2026-09-24,secondary
2026-09-24,Banco Plata,Fixed term 360d (Plata+),365,0.11,,,Plata+; base terms 7-8%,https://www.rendimientosmexico.com/instrumentos/plata,2026-09-24,secondary
2026-09-14,Openbank,Apartados Open,0,0.13,30000,0.07,Open+ debit account; 6.5% above 1M,https://www.tasas.mx/institucion/openbank,2026-09-24,conflict (see institutions)
2026-09-24,Mercado Pago,On demand (no Meli+),0,0.12,25000,,Without subscription,https://www.tasas.mx/institucion/mercadopago,2026-09-24,yes
2026-09-24,DiDi,On demand,0,0.15,10000,,"Rate on balance above 10,000 not found",https://www.tasas.mx/,2026-09-24,yes (excess rate unverified)
2026-09-24,Stori,On demand,0,0.0725,,,,https://deceroalinfinito.com/mejores-sofipos,2026-09-24,yes
2026-09-24,Stori,Fixed term 30d,30,0.0705,,,,https://www.tasas.mx/,2026-09-24,yes
2026-09-24,Stori,Fixed term 90d,90,0.11,,,,https://www.tasas.mx/,2026-09-24,yes
2026-09-24,Stori,Fixed term 180d,180,0.1,,,,https://www.tasas.mx/,2026-09-24,yes
2026-09-24,Stori,Fixed term 365d,365,0.0825,,,,https://www.tasas.mx/,2026-09-24,yes
2026-09-24,Finsus,On demand,0,0.0701,,,,https://deceroalinfinito.com/mejores-sofipos,2026-09-24,yes
2026-09-24,Finsus,Fixed term 30d,30,0.0719,,,,https://www.tasas.mx/,2026-09-24,yes
2026-09-24,Finsus,Fixed term 90d,90,0.075,,,,https://www.tasas.mx/,2026-09-24,yes
2026-09-24,Finsus,Fixed term 180d,180,0.0759,,,,https://www.tasas.mx/,2026-09-24,yes
2026-09-24,Finsus,Fixed term 365d,365,0.0869,,,,https://www.tasas.mx/,2026-09-24,yes
2026-09-24,Kubo Financiero,Fixed term 90d,90,0.11,,,Withdrawal problems reported May-Jun 2026,https://www.tasas.mx/,2026-09-24,yes
2026-09-24,Kubo Financiero,Fixed term 365d,365,0.12,,,Withdrawal problems reported May-Jun 2026,https://www.tasas.mx/,2026-09-24,yes
2026-09-24,CETES (via GBM or Cetesdirecto),CETES 28d,28,0.0615,,,,https://www.tasas.mx/,2026-09-24,yes
2026-09-24,CETES (via GBM or Cetesdirecto),CETES 91d,91,0.0659,,,,https://www.tasas.mx/,2026-09-24,yes
2026-09-24,CETES (via GBM or Cetesdirecto),CETES 182d,182,0.0691,,,,https://www.tasas.mx/,2026-09-24,yes
2026-09-24,CETES (via GBM or Cetesdirecto),CETES 364d,364,0.0724,,,,https://www.tasas.mx/,2026-09-24,yes
